Age,Weight,Height,Protein,Calories,BMI,Meal_Type,Day_Meal
56,59,178,98.56,2318.39,18.62,Veg,Morning: Upma | Afternoon: Palak Paneer with Roti | Evening: Fruit Salad | Night: Dal-Rice
36,55,172,76.74,2000.45,18.59,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
39,68,151,106.6,1854.81,29.82,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
38,56,182,88.93,1608.48,16.91,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
44,60,177,58.62,1708.73,19.15,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
20,95,186,94.42,2140.6,27.46,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
42,94,163,70.83,1619.16,35.38,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
45,88,156,79.61,1641.27,36.16,Non-Veg,Morning: Boiled Egg with Toast | Afternoon: Chicken Curry with Rice | Evening: Grilled Fish | Night: Egg Bhurji with Chapati
53,48,189,64.94,2224.08,13.44,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
46,70,167,75.98,2074.18,25.1,Non-Veg,Morning: Chicken Sandwich | Afternoon: Egg Curry with Roti | Evening: Grilled Chicken | Night: Paneer-Chicken Mix Pulao
57,60,170,99.79,2247.63,20.76,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
42,59,178,53.22,1618.76,18.62,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
25,55,173,55.91,2453.61,18.38,Veg,Morning: Poha | Afternoon: Rajma Chawal | Evening: Sprouts | Night: Khichdi
22,85,188,113.2,2620.05,24.05,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
50,68,172,93.27,2309.56,22.99,Non-Veg,Morning: Scrambled Eggs | Afternoon: Fish Fry with Rice | Evening: Boiled Eggs | Night: Chicken Khichdi
52,79,150,49.57,2455.89,35.11,Veg,Morning: Dhokla | Afternoon: Lauki Curry with Roti | Evening: Moong Salad | Night: Khichdi and Curd
43,83,163,43.23,2452.8,31.24,Non-Veg,Morning: Omelette with Paratha | Afternoon: Mutton Curry | Evening: Tuna Salad | Night: Chicken Soup with Rice
30,83,181,78.03,2275.93,25.34,Non-Veg,Morning: Egg Parantha | Afternoon: Chicken Biryani | Evening: Roasted Makhana | Night: Boiled Egg and Roti
40,89,188,83.19,1843.67,25.18,Veg,Morning: Oats with Milk | Afternoon: Vegetable Biryani | Evening: Mixed Nuts | Night: Tofu Curry with Rice
39,46,177,89.95,1954.76,14.68,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
45,74,169,110.66,1989.21,25.91,Veg,Morning: Idli Sambhar | Afternoon: Chole with Roti | Evening: Corn Chaat | Night: Vegetable Pulao
